Id,SalePrice
1461,127308.498
1462,155012.17
1463,178706.712
1464,184576.99
1465,198413.03
1466,183286.296
1467,172138.902
1468,175249.428
1469,179190.672
1470,126006.678
1471,201275.948
1472,96067.142
1473,98479.088
1474,153519.43
1475,129835.176
1476,385898.584
1477,251516.91
1478,306281.332
1479,274884.212
1480,462076.308
1481,302503.534
1482,206654.064
1483,181749.702
1484,173234.884
1485,174369.92
1486,198980.608
1487,326405.342
1488,235947.832
1489,210047.726
1490,208287.166
1491,191913.66
1492,99171.716
1493,175741.036
1494,298882.658
1495,286773.8
1496,230820.882
1497,188959.964
1498,155142.974
1499,153444.658
1500,161226.058
1501,173837.572
1502,159373.11
1503,283561.184
1504,231112.04
1505,217070.608
1506,180592.49
1507,236636.986
1508,191066.482
1509,162532.562
1510,151471.474
1511,151187.2
1512,168809.228
1513,150824.234
1514,156922.542
1515,198039.082
1516,159734.86
1517,153250.94
1518,132991.794
1519,226111.51
1520,138040.76
1521,143881.024
1522,164488.6
1523,115969.39
1524,121733.32
1525,127098.29
1526,128217.066
1527,108866.098
1528,127369.63
1529,143129.674
1530,166114.62
1531,131012.896
1532,107063.16
1533,144576.232
1534,116864.388
1535,151593.742
1536,121081.008
1537,90374.046
1538,167659.684
1539,230004.004
1540,121715.238
1541,146363.634
1542,140616.762
1543,198998.852
1544,84364.278
1545,103683.82
1546,124888.824
1547,136824.824
1548,131055.358
1549,114392.172
1550,141499.832
1551,118572.754
1552,147399.304
1553,142563.51
1554,116189.182
1555,168338.988
1556,100113.182
1557,122480.41
1558,96732.052
1559,121364.28
1560,148052.014
1561,157324.078
1562,126524.994
1563,124985.664
1564,160774.132
1565,156413.606
1566,224353.698
1567,85858.638
1568,218979.164
1569,145250.442
1570,132403.798
1571,129490.686
1572,144327.9
1573,233777.304
1574,127244.166
1575,217979.308
1576,228484.974
1577,206720.144
1578,153281.618
1579,140577.498
1580,188107.668
1581,140087.072
1582,127748.2
1583,326838.644
1584,240537.706
1585,140288.0
1586,77066.006
1587,107560.592
1588,146921.46
1589,104340.564
1590,133422.308
